date,name,type,distance_km,moving_time,elapsed_time,avg_hr,max_hr,elevation_gain_m,elevation_loss_m,min_elevation_m,max_elevation_m,avg_pace_min_km,calories,training_load,aerobic_training_effect,anaerobic_training_effect,vo2max_estimate
2026-06-27,Copenhagen Running,outdoor,15.73,1:15:48,1:16:58,161.0,184.0,70.0,77.0,-3.0,19.4,4:49,1274.0,239.36904907226562,5.0,0.20000000298023224,54.0
2026-06-24,Copenhagen Running,outdoor,11.26,0:58:08,0:58:51,148.0,170.0,24.0,23.0,7.2,19.4,5:09,871.0,124.38043212890625,3.700000047683716,0.30000001192092896,54.0
2026-06-22,Treadmill Running,treadmill,3.45,0:32:57,0:42:27,,,,,,,9:33,207.0,9.056045532226562,0.8999999761581421,0.0,
2026-06-20,Copenhagen Running,outdoor,12.58,1:10:14,1:11:41,156.0,179.0,96.0,92.0,7.0,35.8,5:35,1080.0,130.8958740234375,3.799999952316284,0.4000000059604645,53.0
2026-06-12,Bornholm Running,outdoor,3.8,0:22:34,0:23:02,138.0,158.0,35.0,25.0,-0.6,28.4,5:56,316.0,33.61875915527344,2.200000047683716,0.0,54.0
2026-06-08,Reykjavik Running,outdoor,44.01,4:19:35,4:41:04,155.0,182.0,442.0,425.0,-1.6,172.4,5:53,3803.0,354.84869384765625,5.0,0.5,54.0
2026-06-07,Running,outdoor,10.65,0:57:02,0:58:05,153.0,172.0,71.0,64.0,-106.6,-75.0,5:21,869.0,113.09629821777344,3.5,0.20000000298023224,
2026-05-31,Treadmill Running,treadmill,7.75,1:09:12,1:24:28,,,,,,,8:55,455.0,0.0,0.0,0.0,
2026-05-30,Running,outdoor,14.83,1:25:33,1:31:13,152.0,179.0,112.0,101.0,-22.4,7.6,5:46,1290.0,138.5833282470703,3.700000047683716,0.800000011920929,
2026-05-24,Running,outdoor,9.62,1:22:13,2:39:23,150.0,182.0,566.0,574.0,852.0,1295.2,8:32,1851.0,198.8417510986328,4.400000095367432,0.4000000059604645,
2026-05-23,Running,outdoor,19.42,2:48:14,4:43:19,156.0,182.0,984.0,990.0,994.0,1677.6,8:39,3285.0,356.0082092285156,5.0,2.0,
2026-05-22,Running,outdoor,9.86,1:11:20,1:47:16,165.0,192.0,498.0,496.0,831.2,1232.6,7:14,1440.0,318.1729736328125,5.0,1.7000000476837158,
2026-05-18,Hill Intervals,outdoor,5.9,0:32:09,0:34:43,156.0,190.0,73.0,65.0,60.0,80.8,5:27,501.0,144.1643829345703,3.4000000953674316,2.799999952316284,
2026-05-16,Treadmill Running,treadmill,11.02,1:25:46,1:26:41,,,,,,,7:47,924.0,14.7994384765625,1.399999976158142,0.0,
2026-05-11,Treadmill Running,treadmill,2.79,0:21:59,0:29:55,,,,,,,7:53,239.0,6.5078125,0.6000000238418579,0.0,
2026-05-10,Running,outdoor,43.65,3:52:42,3:59:24,163.0,181.0,75.0,65.0,36.6,58.6,5:19,3186.0,323.3169250488281,5.0,2.0,
2026-05-06,Treadmill Running,treadmill,5.73,0:39:54,0:40:54,,,,,,,6:57,506.0,8.838729858398438,0.800000011920929,0.0,
2026-05-03,Running,outdoor,10.88,1:12:12,1:21:16,148.0,174.0,93.0,82.0,24.8,55.6,6:38,1061.0,93.61111450195312,3.4000000953674316,0.20000000298023224,
2026-05-01,Running,outdoor,7.21,0:39:54,0:41:45,158.0,172.0,57.0,47.0,55.2,83.8,5:32,663.0,118.84024047851562,3.700000047683716,0.0,
2026-04-29,Running,outdoor,5.61,0:28:03,0:30:14,151.0,188.0,6.0,3.0,37.2,42.6,5:00,442.0,132.8115997314453,3.200000047683716,2.799999952316284,
2026-04-25,LISS,outdoor,11.89,1:03:44,1:04:19,156.0,176.0,138.0,139.0,73.4,102.0,5:21,988.0,134.6495361328125,3.9000000953674316,0.20000000298023224,
2026-04-22,Running,outdoor,10.19,0:58:11,1:00:22,137.0,172.0,72.0,64.0,31.0,59.8,5:42,641.0,55.79698181152344,2.5,1.399999976158142,
2026-04-18,Running,outdoor,32.01,3:01:37,3:15:48,151.0,172.0,292.0,280.0,66.4,102.4,5:40,2231.0,161.22776794433594,4.199999809265137,0.800000011920929,
2026-04-15,Running,outdoor,9.03,0:43:10,0:44:30,173.0,192.0,33.0,23.0,28.4,48.0,4:46,779.0,254.94407653808594,5.0,2.299999952316284,
2026-04-11,Running,outdoor,14.62,1:21:03,1:25:33,,,77.0,70.0,34.8,60.2,5:32,1360.0,14.785354614257812,1.399999976158142,0.0,
2026-04-09,Running,outdoor,6.37,0:32:37,0:34:30,,,60.0,48.0,26.0,51.4,5:07,582.0,5.1759796142578125,0.5,0.0,
2026-04-04,Running,outdoor,21.25,1:54:43,1:59:32,,,210.0,214.0,14.4,57.6,5:23,1984.0,13.446853637695312,1.2999999523162842,0.0,
2026-04-01,Running,outdoor,13.16,1:09:35,1:10:06,,,35.0,28.0,32.0,46.2,5:17,1231.0,8.832138061523438,0.800000011920929,0.0,
2026-03-31,Running,outdoor,8.17,0:42:59,0:43:29,,,66.0,71.0,29.0,56.0,5:15,763.0,7.4446563720703125,0.699999988079071,0.0,
2026-03-28,Running,outdoor,3.2,0:15:29,0:16:30,,,16.0,9.0,36.0,44.6,4:49,302.0,3.8560943603515625,0.30000001192092896,0.0,
2026-03-27,Running,outdoor,5.01,0:25:51,0:26:08,,,11.0,6.0,29.8,38.2,5:09,471.0,4.2957000732421875,0.4000000059604645,0.0,
2026-03-22,Running,outdoor,6.25,0:41:03,0:47:01,,,28.0,15.0,52.2,67.6,6:34,580.0,7.0485382080078125,0.699999988079071,0.0,
2026-03-14,Running,outdoor,21.22,1:54:27,1:56:37,,,12.0,13.0,18.0,26.8,5:23,1980.0,13.454635620117188,1.2999999523162842,0.0,
2026-03-12,Running,outdoor,4.11,0:21:23,0:21:35,147.0,166.0,5.0,4.0,33.4,40.4,5:12,308.0,52.295989990234375,2.799999952316284,0.0,
2026-03-07,Running,outdoor,9.03,0:48:05,0:48:56,,,9.0,4.0,39.4,47.6,5:19,844.0,11.783096313476562,1.100000023841858,0.0,
2026-03-05,Running,outdoor,5.01,0:24:47,0:25:22,131.0,174.0,12.0,8.0,33.0,42.2,4:56,292.0,80.7044677734375,3.0,1.5,
2026-02-28,Treadmill Running,treadmill,8.18,0:55:46,0:57:11,145.0,171.0,,,,,6:49,697.0,92.0360107421875,3.4000000953674316,0.0,
2026-02-25,Running,outdoor,5.24,0:26:39,0:28:46,164.0,181.0,21.0,15.0,34.2,46.4,5:05,483.0,113.0889892578125,3.5999999046325684,0.0,
2026-02-18,Treadmill Running,treadmill,3.0,0:28:06,0:32:03,,,,,,,9:21,181.0,76.79827880859375,3.200000047683716,0.0,
2026-02-17,Treadmill Running,treadmill,7.28,0:53:33,0:53:53,141.0,174.0,,,,,7:21,589.0,83.59111022949219,3.299999952316284,0.0,
2026-02-08,Running,outdoor,5.75,0:30:11,0:30:34,,,69.0,65.0,56.2,82.8,5:14,539.0,7.828125,0.699999988079071,0.0,
2026-02-05,Fartlek Run,outdoor,6.12,0:32:11,0:32:49,161.0,178.0,48.0,38.0,40.2,57.6,5:15,535.0,115.35403442382812,3.700000047683716,0.0,
2026-02-03,Running,outdoor,9.26,0:50:06,0:50:37,151.0,171.0,42.0,41.0,32.0,45.2,5:24,742.0,129.25450134277344,3.700000047683716,1.399999976158142,
2026-01-25,Running,outdoor,12.01,1:02:48,1:04:04,166.0,184.0,103.0,99.0,65.6,91.4,5:13,1072.0,216.96792602539062,4.800000190734863,1.100000023841858,
2026-01-17,LISS,outdoor,12.78,1:11:00,1:11:38,145.0,166.0,95.0,97.0,161.4,190.8,5:33,885.0,63.61004638671875,2.9000000953674316,0.10000000149011612,
2026-01-13,Running,outdoor,3.23,0:17:00,0:17:33,158.0,168.0,15.0,10.0,164.2,176.0,5:15,285.0,61.99870300292969,3.0,0.0,
2026-01-13,Running,outdoor,3.29,0:16:50,0:16:59,162.0,173.0,22.0,5.0,162.4,179.0,5:06,285.0,68.11013793945312,3.0999999046325684,0.0,
2025-12-30,Track/Road Reps,outdoor,8.01,0:38:26,0:40:26,162.0,187.0,33.0,28.0,158.4,166.2,4:48,652.0,184.6778564453125,4.0,2.5999999046325684,
2025-12-27,LISS,treadmill,4.57,0:30:19,0:30:54,155.0,167.0,,,,,6:37,484.0,83.54302978515625,3.299999952316284,0.0,
2025-12-25,Run: Z2 - 1h,outdoor,10.39,0:59:32,1:00:31,137.0,145.0,14.0,5.0,33.0,48.4,5:43,616.0,32.383148193359375,2.299999952316284,0.0,
2025-12-23,Running,outdoor,6.12,0:29:37,0:29:51,159.0,185.0,29.0,22.0,10.6,24.8,4:50,471.0,128.62974548339844,3.5,2.200000047683716,
2025-12-21,Running,outdoor,1.91,0:09:41,0:09:51,,,8.0,5.0,41.8,51.2,5:03,180.0,14.399093627929688,1.399999976158142,0.0,
2025-12-21,Running,outdoor,8.25,0:40:24,0:41:00,175.0,194.0,78.0,68.0,35.2,68.8,4:53,736.0,224.9669647216797,5.0,0.20000000298023224,
2025-12-19,Running,outdoor,7.17,0:39:11,0:40:08,,,30.0,39.0,43.6,66.6,5:27,668.0,0.0,0.0,0.0,
2025-12-12,Running,outdoor,2.66,0:13:23,0:13:50,,,2.0,2.0,150.0,152.6,5:02,250.0,0.0,0.0,0.0,
2025-12-02,Running,outdoor,5.02,0:26:35,0:26:53,,,2.0,,162.2,164.6,5:17,470.0,0.0,0.0,0.0,
2025-11-30,Running,outdoor,8.01,0:43:26,0:44:42,,,3.0,3.0,158.8,184.2,5:25,746.0,0.0,0.0,0.0,
2025-11-24,Treadmill Running,treadmill,2.89,0:29:09,0:39:55,,,,,,,10:05,179.0,0.0,0.0,0.0,
2025-11-16,Treadmill Running,treadmill,5.2,0:46:29,0:47:50,,,,,,,8:56,322.0,2.8125152587890625,0.20000000298023224,0.0,
2025-11-12,Treadmill Running,treadmill,5.0,0:35:29,0:36:00,131.0,150.0,,,,,7:05,479.0,16.045379638671875,1.399999976158142,0.10000000149011612,
2025-11-10,Treadmill Running,treadmill,5.11,0:36:57,0:37:00,130.0,167.0,,,,,7:14,400.0,31.23114013671875,2.0999999046325684,0.699999988079071,
2025-10-05,Furesø Running,outdoor,13.01,1:16:35,1:19:20,147.0,170.0,139.0,138.0,24.0,50.4,5:53,1107.0,101.66087341308594,3.5,0.0,54.0
2025-10-03,Copenhagen Running,outdoor,7.35,0:36:42,0:36:43,158.0,173.0,21.0,20.0,9.4,22.4,4:59,596.0,107.43943786621094,3.5,0.0,55.0
2025-09-28,Copenhagen Running,outdoor,8.02,0:36:49,0:37:24,164.0,182.0,20.0,18.0,5.8,16.4,4:35,639.0,147.22547912597656,3.9000000953674316,0.30000001192092896,55.0
2025-09-21,Copenhagen Running,outdoor,3.42,0:19:59,0:21:01,119.0,144.0,10.0,12.0,8.4,17.0,5:50,262.0,25.311355590820312,2.0,0.0,
2025-09-20,Copenhagen Running,outdoor,2.78,0:16:16,0:17:53,123.0,141.0,8.0,5.0,14.2,20.6,5:51,227.0,25.2208251953125,2.0,0.0,
2025-09-17,Treadmill Running,treadmill,1.44,0:14:21,0:15:21,116.0,143.0,,,,,9:55,136.0,11.2266845703125,0.800000011920929,0.0,
2025-09-14,Copenhagen - HM 1:30,outdoor,21.13,1:31:08,1:31:37,183.0,191.0,43.0,44.0,7.8,26.6,4:18,1713.0,471.9599914550781,5.0,2.5999999046325684,55.0
2025-09-07,Copenhagen Running,outdoor,8.0,0:49:58,0:51:43,146.0,160.0,45.0,36.0,4.4,35.4,6:14,717.0,68.1373291015625,2.799999952316284,0.0,55.0
2025-09-06,Copenhagen - 1:30 HM Sim (10km),outdoor,10.02,0:42:06,0:42:09,176.0,193.0,19.0,20.0,8.6,20.8,4:12,779.0,273.9517822265625,4.599999904632568,2.200000047683716,55.0
2025-09-05,Treadmill Running,treadmill,4.32,0:29:37,0:29:59,133.0,151.0,,,,,6:51,343.0,35.28291320800781,2.200000047683716,0.0,
2025-08-31,Frederiksberg Running,outdoor,8.42,0:52:21,0:53:52,142.0,178.0,42.0,49.0,3.6,36.2,6:13,714.0,72.41911315917969,2.9000000953674316,0.0,55.0
2025-08-30,Copenhagen - PRGRSV 14 @ 5:10~>4:18,outdoor,10.01,0:48:44,0:48:54,173.0,195.0,78.0,79.0,9.8,36.6,4:52,856.0,220.3950958251953,4.099999904632568,2.0,55.0
2025-08-27,Copenhagen Running,outdoor,5.14,0:21:57,0:21:59,184.0,197.0,4.0,8.0,10.2,18.8,4:16,418.0,156.32894897460938,3.700000047683716,0.699999988079071,55.0
2025-08-27,Copenhagen - 5k - 19 min - 3:48 m/km,outdoor,5.28,0:20:35,0:20:38,189.0,206.0,9.0,9.0,11.8,18.8,3:53,421.0,272.51885986328125,4.0,3.0999999046325684,55.0
2025-08-24,Copenhagen - 10 km @ 1:30 HM Pace (4:16),outdoor,10.1,0:43:01,0:43:03,177.0,193.0,20.0,15.0,8.8,18.4,4:15,809.0,295.98675537109375,4.900000095367432,2.4000000953674316,55.0
2025-08-23,Copenhagen Running,outdoor,17.34,1:41:16,1:43:10,138.0,190.0,132.0,132.0,8.2,36.0,5:50,1428.0,112.66734313964844,3.4000000953674316,0.10000000149011612,55.0
2025-08-20,Copenhagen - 3x2k < 4:10,outdoor,8.49,0:37:59,0:38:26,161.0,180.0,29.0,25.0,10.0,23.8,4:28,646.0,172.2070770263672,3.700000047683716,2.200000047683716,55.0
2025-08-18,Copenhagen Running,outdoor,8.35,0:54:51,0:56:10,126.0,143.0,15.0,12.0,9.8,19.6,6:34,676.0,45.600250244140625,2.4000000953674316,0.0,
2025-08-16,Vordingborg Running,outdoor,29.3,3:40:49,4:08:50,146.0,188.0,926.0,921.0,1.6,147.2,7:32,2872.0,222.41676330566406,4.400000095367432,1.2000000476837158,55.0
2025-08-14,Copenhagen Running,outdoor,9.07,0:56:38,0:57:37,141.0,157.0,27.0,24.0,9.8,23.2,6:14,760.0,58.98931884765625,2.700000047683716,0.0,55.0
