date,name,elapsed_time,duration_min,calories
2026-06-22,Functional Fitness,0:31:45,31.8,0.0
2026-06-16,Functional Fitness,1:03:54,63.9,0.0
2026-06-02,Functional Fitness,14:35:49,875.8,0.0
2026-06-01,Functional Fitness,0:43:01,43.0,0.0
2026-05-21,Functional Fitness,0:39:52,39.9,0.0
2026-05-18,Functional Fitness,0:44:34,44.6,0.0
2026-05-13,Functional Fitness,1:14:40,74.7,0.0
2026-05-11,Functional Fitness,0:27:37,27.6,0.0
2026-05-05,Functional Fitness,1:08:04,68.1,0.0
2026-05-01,Functional Fitness,1:37:00,97.0,0.0
2026-04-28,Functional Fitness,0:53:05,53.1,0.0
2026-04-24,Functional Fitness,0:40:35,40.6,0.0
2026-04-21,Functional Fitness,1:01:49,61.8,0.0
2026-04-17,Functional Fitness,0:42:32,42.5,0.0
2026-04-13,Functional Fitness,1:02:30,62.5,0.0
2026-04-05,Functional Fitness,0:58:12,58.2,0.0
2026-04-02,Functional Fitness,0:53:16,53.3,0.0
2026-03-30,Functional Fitness,1:11:18,71.3,0.0
2026-03-25,Functional Fitness,1:38:10,98.2,0.0
2026-03-13,Functional Fitness,0:53:19,53.3,0.0
2026-03-11,Functional Fitness,0:47:33,47.6,0.0
2026-03-09,Functional Fitness,0:38:57,39.0,0.0
2026-03-02,Functional Fitness,0:48:39,48.7,0.0
2026-02-26,Functional Fitness,0:50:43,50.7,0.0
2026-02-24,Functional Fitness,0:53:05,53.1,
2026-02-22,Functional Fitness,1:01:26,61.4,0.0
2026-02-18,Functional Fitness,1:02:43,62.7,0.0
2026-02-06,Functional Fitness,0:44:31,44.5,0.0
2026-02-04,Functional Fitness,1:24:43,84.7,0.0
2026-01-28,Functional Fitness,0:32:28,32.5,
2026-01-14,Functional Fitness,0:48:24,48.4,0.0
2026-01-13,Functional Fitness,1:24:21,84.4,655.0
2025-12-31,Functional Fitness,1:02:14,62.2,0.0
2025-12-29,Functional Fitness,0:57:46,57.8,
2025-12-27,Functional Fitness,0:50:41,50.7,0.0
2025-12-24,Functional Fitness,0:51:50,51.8,0.0
2025-12-22,Functional Fitness,2:10:18,130.3,0.0
2025-12-20,Functional Fitness,1:30:48,90.8,0.0
2025-12-17,Functional Fitness,1:21:00,81.0,
2025-11-29,Functional Fitness,0:41:25,41.4,
2025-11-28,Functional Fitness,1:08:51,68.9,
2025-11-23,Functional Fitness,0:56:19,56.3,
2025-11-13,Functional Fitness,1:49:26,109.4,0.0
2025-11-09,Functional Fitness,0:46:20,46.3,477.0
2025-10-30,Functional Fitness,0:40:44,40.7,306.0
2025-10-20,Functional Fitness,1:30:26,90.4,407.0
2025-10-18,Functional Fitness,0:35:04,35.1,243.0
2025-10-07,Functional Fitness,1:38:31,98.5,707.0
2025-10-01,Functional Fitness,0:58:10,58.2,2.0
2025-09-26,Functional Fitness,1:01:23,61.4,438.0
2025-09-24,Functional Fitness,1:03:05,63.1,464.0
2025-09-17,Functional Fitness,0:40:50,40.8,327.0
2025-09-12,Functional Fitness,0:43:19,43.3,282.0
2025-09-08,Functional Fitness,0:46:33,46.6,309.0
2025-08-30,Functional Fitness,0:56:49,56.8,464.0
2025-08-28,Functional Fitness,0:52:51,52.9,319.0
2025-08-25,Functional Fitness,0:50:48,50.8,393.0
2025-08-22,Functional Fitness,2:04:33,124.6,345.0
2025-08-21,Functional Fitness,0:58:04,58.1,367.0
2025-08-19,Functional Fitness,0:42:29,42.5,390.0
2025-08-15,Functional Fitness,0:54:09,54.2,407.0
2025-08-13,Functional Fitness,0:46:55,46.9,298.0
2025-08-11,Functional Fitness,0:51:33,51.6,295.0
2025-08-08,Functional Fitness,0:54:28,54.5,298.0
2025-08-06,Functional Fitness,0:54:20,54.3,346.0
2025-08-04,Functional Fitness,1:30:03,90.1,672.0
2025-07-29,Functional Fitness,1:23:06,83.1,318.0
2025-07-28,Functional Fitness,0:29:03,29.1,196.0
2025-07-26,Functional Fitness,0:50:17,50.3,318.0
2025-07-25,Functional Fitness,0:52:16,52.3,404.0
2025-07-23,Functional Fitness,0:50:17,50.3,451.0
2025-07-17,Functional Fitness,1:01:47,61.8,430.0
2025-07-15,Functional Fitness,0:36:56,36.9,266.0
2025-07-11,Functional Fitness,1:01:54,61.9,410.0
2025-07-10,Functional Fitness,0:45:50,45.8,426.0
2025-07-07,Functional Fitness,0:49:05,49.1,391.0
2025-07-03,Functional Fitness,0:34:43,34.7,491.0
2025-07-01,Functional Fitness,0:29:27,29.5,434.0
2025-06-27,Functional Fitness,0:43:19,43.3,313.0
2025-06-22,Functional Fitness,0:56:17,56.3,497.0
2025-01-04,Strength,1:07:08,67.1,0.0
2025-01-02,Strength,0:43:22,43.4,0.0
2025-01-01,Strength,0:24:25,24.4,0.0
2024-12-26,Strength,0:57:32,57.5,0.0
2024-12-24,Strength,0:32:27,32.5,0.0
2024-12-21,Strength,0:48:28,48.5,0.0
2024-12-16,Strength,0:37:06,37.1,0.0
2024-12-09,Strength,0:46:54,46.9,0.0
2024-12-07,Strength,0:30:39,30.7,0.0
2024-12-03,Strength,1:06:05,66.1,0.0
2024-12-02,Strength,0:51:13,51.2,0.0
2024-11-26,Strength,0:50:18,50.3,0.0
2024-11-24,Strength,0:32:31,32.5,0.0
2024-11-22,Strength,1:22:17,82.3,0.0
2024-11-12,Strength,0:39:47,39.8,0.0
2024-11-06,Strength,0:53:32,53.5,1.0
2024-11-03,Strength,1:15:18,75.3,0.0
2024-10-30,Strength,1:18:22,78.4,0.0
2024-10-21,Strength,0:59:57,60.0,0.0
2024-10-15,Strength,0:56:07,56.1,0.0
2024-10-14,Strength,0:35:06,35.1,0.0
2024-10-12,Strength,0:37:33,37.6,0.0
2024-10-10,Strength,0:52:10,52.2,0.0
2024-10-08,Strength,0:39:05,39.1,0.0
2024-10-04,Strength,0:28:56,28.9,0.0
2024-10-02,Strength,0:42:33,42.6,0.0
2024-09-30,Strength,0:42:16,42.3,0.0
2024-09-27,Strength,0:31:44,31.7,4.0
2024-09-26,Strength,0:26:56,26.9,0.0
2024-09-25,Strength,0:33:00,33.0,0.0
2024-09-18,Strength,0:31:09,31.2,0.0
2024-09-16,Strength,0:34:55,34.9,0.0
2024-09-14,Strength,0:17:58,18.0,0.0
2024-09-13,Strength,0:29:58,30.0,0.0
2024-09-11,Strength,0:27:23,27.4,0.0
2024-09-05,Strength,0:31:34,31.6,3.0
2024-09-03,Strength,0:37:12,37.2,0.0
2024-09-01,Strength,0:31:35,31.6,0.0
2024-08-27,Strength,0:44:41,44.7,5.0
2024-08-26,Strength,0:33:58,34.0,0.0
2024-08-23,Strength,0:40:32,40.5,0.0
2024-08-20,Strength,0:45:30,45.5,0.0
2024-08-19,Strength,0:44:19,44.3,0.0
2024-08-16,Strength,0:41:04,41.1,0.0
2024-08-15,Strength,0:49:32,49.5,1.0
2024-08-13,Strength,0:41:02,41.0,0.0
2024-08-10,Strength,0:41:01,41.0,0.0
2024-08-09,Strength,0:40:20,40.3,0.0
2024-07-30,Strength,0:50:37,50.6,0.0
2024-07-29,Strength,1:04:34,64.6,0.0
2024-07-19,Strength,0:48:45,48.8,520.0
2024-07-17,Strength,0:52:52,52.9,512.0
2024-07-15,Strength,1:10:22,70.4,565.0
2024-07-12,Strength,1:23:51,83.9,1037.0
2024-07-10,Strength,0:58:25,58.4,594.0
2024-07-08,Strength,0:51:06,51.1,543.0
2024-07-01,Strength,0:42:42,42.7,326.0
